1,расул гьинцол-о вохон
2,расул гьинцол-а хиакку худуа вутлъи
3,ден ушкулуо сори
4,бабади чорпа хагилакку хербади тiини
5,бабади чорпа гьербади тiини
6,лъенлiи вулiеско
7,гьегешуб мигъулоа лъирдобил
8,гьудуйа онлъий дич!у
9,арко хагиля
10,гьакъула велъо
11,дичуку мочи устулукьи вуон
12,устулуакку букуй бихъин тарелка
13,устулуакку рукуй тарелка рихьи
14,тента омъа хобкiой
15,милкилчiу седу йигъий
16,шекиб бури решуакку
17,вошо устулулъи хикьукку вулъи
18,ден ушкулу!о вуинне
19,денни ишкапиль къен хелъоро биколъи
20,лъенлъи вулъесхъо
21,т!ент!а гьобк!ой эркъакьи
22,къеночiу къеру ишкапиль
23,лъенлiикку берка бухи
24,инчи буку решуакку
25,цiел устулучiу вехудивол гьовокiой
26,ушкулуха вугъий
27,ден ушкулуъчiу лъерукку йион
28,дихо вучунивуо моч!и устулулъикку
29,расул омъо вохон
30,моч!и чердаку-о йохон
31,къеноха 
32,чорпалъи хаги
33,тарелка вехери устулуакку
34,ден устулуо гьалчон
35,бабади хагилаку чорпа т!ини
36,къенока шипанер
37,ден ушкулучiу лъерукку(=мимо) вуон
38,денни къенночiу лъеру бешен т!амми
39,тарелка букуй устулуакку гьикъу
40,вохон чердакуо
41,ден ушкулухо йиинне
42,устулу-а бик!оло тарелка
43,денни бухи ишкафи къеноч!у къерукку
44,устулукьику вулъи
45,мальчик устулукьикку вулъи
46,ден милкилчiу сэдо зуди вугъий
47,эркъалкьи гьобкiой тiентiа
48,денни къеночiу къеруку ишкапиль бухи
49,лъенлiи хвами
50,ден укулуъакку херйади онлъи
51,цiекiуа цiекiалъол
52,дич!у лъеру-кку
53,ден устулуч!у вехудива ховк!ой(сижу)
54,мальчик вуон устулукьи курщищой
55,ден релъохо сори
56,мочишди бохий устулуакку хинкилол
57,гьегельлъи баху цiекiалъол
58,къенохакку бухи
59,гьинцiол-акку лъиби
60,бабади хагиди гьини чорпа т!ини
61,къено-а
62,хагила чорпа
63,ц!ел устулучiу вехудивол
64,къеноха бикiолъи(поставила)
65,хуча руку устулуакку
66,мочи устулулъи хикьуку вуон
67,русул вохонний ом!о\чердакуо
68,ушкулухакку вуон
69,ден укулуъакку вулъий
70,дичiу кодуку лъиби устулукьи
71,гьинцiол-о вохон
72,устулукьи вугъий
73,гьегельлъи баху цiекiалъол цикуъа
74,бабади хинкилол устулуакку буху
75,ден устулучiу ехудийа хойкiой
76,решуакку бури шекиб
77,где шкаф – вон там у стены – къеноха
78,лъенлъи илъу хвани
79,бабади чорпа хагиди тiини
80,хагила чорпа\чорпалъи хаги
81,денни къенноч!у лъеру биколъи ишкапиль
82,дилъу къен \къено-ха бешен т!амо
83,ден милкич!у йегьудийа зуди йери
84,бабади бухи тарелка устулуакку
85,ден гьалчiон устулуо
86,устулу-о букку тарелка
87,ден ушкулухо сори\ушкулу!о сорий
88,бабади чорпа хагилакку херади тiини
89,кьено1а палто кельгедир
90,вошо устулукьи зуди вугъий
91,ден релъо!о сорий
92,сурати гелгедир къено!а
93,бабади бикiолъи тарелка устулуа
94,решуакку инчи буку
95,лъенлъикку берка бухи
96,ден къеночiу вехудива вугъий
97,милкилчiу ехудия йигъий
98,бабади устулуа боколъи хинк!илол
99,шекибэ решуакку бури
100,сурати къеноъа гелгедир
101,лъенлъи илъукку бурка хаор
102,къеноха
103,муса хахъула орива вуон
104,устулуа тарелка
105,ден милкилчiу сэдо (вперед) вугъий
106,хвами лъенлъи
107,бабади хинкiилол устулуа бокъолъи
108,устулукьи зуди вугъий мочiи
109,саиди вуон гьакъулакку
110,ден укулуъакку вуон
111,ден милкилчiу вехудива вугъий
112,дихакку вуон зиву
113,моч!и устулулъи
114,ден зуди ири милкилч!у седу
115,лъенсолъи хвани
116,расул гьинцiол-акку
117,устулу-а тарелка
118,моч!и чердаку-а-ку улъи хилъу
119,ушкулучiу лъеру вугьий
120,устулуа гьиъа тарелка
121,устулукьикку лъиби мочiи
122,ден ушкулучiу лъеру вурий
123,дичукку устулулъи вучу 
